French,English
histoire,history
seulement,only
police,police
pensais,thought
genre,kind
frère,brother
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
savais,knew
étaient,were
pourrais,could
donner,give
type,type
leurs,their
corps,body
endroit,place
façon,way
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
